link,price,price_before_discount,currency,rating,image_url,Product Title,Category,Site,All Reviews,Brand,Operating System,Ram Memory Installed Size,Memory Storage Capacity,Screen Size,Resolution,Refresh Rate,Model Name,Wireless Carrier,Cellular Technology,Connectivity Technology,CPU Model,CPU Speed,Color,date
https://www.amazon.com/Google-Pixel-Unlocked-Smartphone-Advanced/dp/B0CGTD5KVT/ref=sr_1_11?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-11,499.,$699.00,USD,4.3 out of 5 stars,https://m.media-amazon.com/images/I/81Mya-dPIOL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MzIzODkxMTUyNTY5ODQyOjE3Mjk2NTAxMzk6c3BfbXRmOjMwMDM2NjI3OTg3NzEwMjo6MDo6&url=%2FUMIDIGI-G9-Android-Unlocked-Fingerprint%2Fdp%2FB0D3F7HQSS%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs%26dib_tag%3Dse%26keywords%3Dmobile%2Bphone%26qid%3D1729650139%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,148.,No List Price,USD,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71MC3EN6IoL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/Motorola-Power-Unlocked-MPCamera-Mineral/dp/B0D9927L49/ref=sr_1_13?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-13,129.,$144.99,USD,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61QKKdjHV0L._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=sr_1_14?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-14,399.,$345.86,USD,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61VuVU94RnL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/Nokia-Android-Unlocked-Smartphone-5-7-Inch/dp/B0CJCTW1C5/ref=sr_1_15?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-15,59.,$55.70,USD,3.3 out of 5 stars,https://m.media-amazon.com/images/I/71PGVVHz08L._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/Apple-iPhone-14-128GB-Midnight/dp/B0BN72FYFG/ref=sr_1_16?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-16,479.,$399.44,USD,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61WUSYIQdKL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MzIzODkxMTUyNTY5ODQyOjE3Mjk2NTAxMzk6c3BfbXRmOjMwMDA4MDc0OTE4NzEwMjo6MDo6&url=%2FMotorola-Think-Unlocked-Camera-inches%2Fdp%2FB0C7SSTPD9%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs%26dib_tag%3Dse%26keywords%3Dmobile%2Bphone%26qid%3D1729650139%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,399.,No List Price,USD,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61U3J32ttyL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/Apple-iPhone-12-64GB-Blue/dp/B08PNM1LNZ/ref=sr_1_18?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-18,268.,$397.76,USD,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61pz7VA6KoL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MzIzODkxMTUyNTY5ODQyOjE3Mjk2NTAxMzk6c3BfYnRmOjIwMDEyMjI1NDc2Mjc5ODo6MDo6&url=%2FweBoost-Drive-Reach-Overland-Vehicles%2Fdp%2FB0BJY35SQ2%2Fref%3Dsr_1_19_sspa%3Fdib%3DeyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs%26dib_tag%3Dse%26keywords%3Dmobile%2Bphone%26qid%3D1729650139%26sr%3D8-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,549.,No List Price,USD,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71JlKZjN2sL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MzIzODkxMTUyNTY5ODQyOjE3Mjk2NTAxMzk6c3BfYnRmOjMwMDQ3NDEwOTU4MzkwMjo6MDo6&url=%2FSomecall-Multi-Room-Antennas-T-Mobile-Approved%2Fdp%2FB0DCP4TD25%2Fref%3Dsr_1_20_sspa%3Fdib%3DeyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs%26dib_tag%3Dse%26keywords%3Dmobile%2Bphone%26qid%3D1729650139%26sr%3D8-20-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,145.,No List Price,USD,No Rating,https://m.media-amazon.com/images/I/61lcVBrsY3L._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MzIzODkxMTUyNTY5ODQyOjE3Mjk2NTAxMzk6c3BfYnRmOjMwMDQ5MDY4MjM0NTUwMjo6MDo6&url=%2FMounted-Charging-Compatible-Hospital-University%2Fdp%2FB0DJ74DFNK%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs%26dib_tag%3Dse%26keywords%3Dmobile%2Bphone%26qid%3D1729650139%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,169.,No List Price,USD,No Rating,https://m.media-amazon.com/images/I/51Ete7G2mzL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/Galaxy-S21-Ultra-5G-Smartphone/dp/B096T6Y623/ref=sr_1_17?dib=eyJ2IjoiMSJ9.9vADI5oBVNx5f-fo6JwAfEq81XaZIbdJbGg2N8K882YFHnaUnpHVo25p0Xe9agUtzHgS7s2orHifGpxPEmlweuDMRLkDZurjDKnM_E7RmWJTd14ebxdD6CdMUAtauAzFUYj5KDaE4kngaF8nRmXGQzEoZAw_lQyIUsSKBV3VZZ8vw9VG28KL0hmz2fnuT6zayhViddn4m2EfYk17-jOJbkDZAW-jXwzaLAqJw9BxBO4.BWseUM1tILsOntAtg5hGynn8LLKvoLYPrScG7muKvA8&dib_tag=se&keywords=mobile+phone&qid=1729650143&sr=8-17,269.,$234.75,USD,3.9 out of 5 stars,https://m.media-amazon.com/images/I/61dlAm9BpqL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/TracFone-Motorola-Moto-Pure-32GB/dp/B0CHH1N9VY/ref=sr_1_18?dib=eyJ2IjoiMSJ9.9vADI5oBVNx5f-fo6JwAfEq81XaZIbdJbGg2N8K882YFHnaUnpHVo25p0Xe9agUtzHgS7s2orHifGpxPEmlweuDMRLkDZurjDKnM_E7RmWJTd14ebxdD6CdMUAtauAzFUYj5KDaE4kngaF8nRmXGQzEoZAw_lQyIUsSKBV3VZZ8vw9VG28KL0hmz2fnuT6zayhViddn4m2EfYk17-jOJbkDZAW-jXwzaLAqJw9BxBO4.BWseUM1tILsOntAtg5hGynn8LLKvoLYPrScG7muKvA8&dib_tag=se&keywords=mobile+phone&qid=1729650143&sr=8-18,49.,No List Price,USD,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71zGrrAe5NL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Advanced-Expandable/dp/B0CN1Q2X3B/ref=sr_1_19?dib=eyJ2IjoiMSJ9.9vADI5oBVNx5f-fo6JwAfEq81XaZIbdJbGg2N8K882YFHnaUnpHVo25p0Xe9agUtzHgS7s2orHifGpxPEmlweuDMRLkDZurjDKnM_E7RmWJTd14ebxdD6CdMUAtauAzFUYj5KDaE4kngaF8nRmXGQzEoZAw_lQyIUsSKBV3VZZ8vw9VG28KL0hmz2fnuT6zayhViddn4m2EfYk17-jOJbkDZAW-jXwzaLAqJw9BxBO4.BWseUM1tILsOntAtg5hGynn8LLKvoLYPrScG7muKvA8&dib_tag=se&keywords=mobile+phone&qid=1729650143&sr=8-19,249.,$299.99,USD,3.6 out of 5 stars,https://m.media-amazon.com/images/I/61cwMOVn17L._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/Samsung-Galaxy-S20-FE-128GB/dp/B08L34JQ9C/ref=sr_1_20?dib=eyJ2IjoiMSJ9.9vADI5oBVNx5f-fo6JwAfEq81XaZIbdJbGg2N8K882YFHnaUnpHVo25p0Xe9agUtzHgS7s2orHifGpxPEmlweuDMRLkDZurjDKnM_E7RmWJTd14ebxdD6CdMUAtauAzFUYj5KDaE4kngaF8nRmXGQzEoZAw_lQyIUsSKBV3VZZ8vw9VG28KL0hmz2fnuT6zayhViddn4m2EfYk17-jOJbkDZAW-jXwzaLAqJw9BxBO4.BWseUM1tILsOntAtg5hGynn8LLKvoLYPrScG7muKvA8&dib_tag=se&keywords=mobile+phone&qid=1729650143&sr=8-20,161.,$129.00,USD,3.9 out of 5 stars,https://m.media-amazon.com/images/I/51FaenRetSL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/Samsung-Unlocked-Smartphone-Expandable-Infinite/dp/B09SM24S8C/ref=sr_1_21?dib=eyJ2IjoiMSJ9.9vADI5oBVNx5f-fo6JwAfEq81XaZIbdJbGg2N8K882YFHnaUnpHVo25p0Xe9agUtzHgS7s2orHifGpxPEmlweuDMRLkDZurjDKnM_E7RmWJTd14ebxdD6CdMUAtauAzFUYj5KDaE4kngaF8nRmXGQzEoZAw_lQyIUsSKBV3VZZ8vw9VG28KL0hmz2fnuT6zayhViddn4m2EfYk17-jOJbkDZAW-jXwzaLAqJw9BxBO4.BWseUM1tILsOntAtg5hGynn8LLKvoLYPrScG7muKvA8&dib_tag=se&keywords=mobile+phone&qid=1729650143&sr=8-21,73.,$99.99,USD,3.8 out of 5 stars,https://m.media-amazon.com/images/I/51m45B3Yy+L._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
